date,TSLA,isPartial
2016-08-21,5,False
2016-08-28,6,False
2016-09-04,5,False
2016-09-11,5,False
2016-09-18,5,False
2016-09-25,4,False
2016-10-02,5,False
2016-10-09,4,False
2016-10-16,6,False
2016-10-23,9,False
2016-10-30,6,False
2016-11-06,6,False
2016-11-13,6,False
2016-11-20,5,False
2016-11-27,5,False
2016-12-04,5,False
2016-12-11,5,False
2016-12-18,5,False
2016-12-25,5,False
2017-01-01,6,False
2017-01-08,6,False
2017-01-15,6,False
2017-01-22,6,False
2017-01-29,5,False
2017-02-05,6,False
2017-02-12,9,False
2017-02-19,11,False
2017-02-26,9,False
2017-03-05,5,False
2017-03-12,6,False
2017-03-19,5,False
2017-03-26,7,False
2017-04-02,12,False
2017-04-09,9,False
2017-04-16,7,False
2017-04-23,7,False
2017-04-30,13,False
2017-05-07,9,False
2017-05-14,8,False
2017-05-21,6,False
2017-05-28,7,False
2017-06-04,11,False
2017-06-11,11,False
2017-06-18,9,False
2017-06-25,8,False
2017-07-02,15,False
2017-07-09,12,False
2017-07-16,8,False
2017-07-23,8,False
2017-07-30,15,False
2017-08-06,9,False
2017-08-13,6,False
2017-08-20,6,False
2017-08-27,5,False
2017-09-03,4,False
2017-09-10,7,False
2017-09-17,7,False
2017-09-24,6,False
2017-10-01,8,False
2017-10-08,7,False
2017-10-15,6,False
2017-10-22,7,False
2017-10-29,13,False
2017-11-05,7,False
2017-11-12,12,False
2017-11-19,6,False
2017-11-26,7,False
2017-12-03,6,False
2017-12-10,7,False
2017-12-17,7,False
2017-12-24,4,False
2017-12-31,7,False
2018-01-07,7,False
2018-01-14,6,False
2018-01-21,7,False
2018-01-28,6,False
2018-02-04,11,False
2018-02-11,6,False
2018-02-18,5,False
2018-02-25,5,False
2018-03-04,5,False
2018-03-11,6,False
2018-03-18,6,False
2018-03-25,15,False
2018-04-01,16,False
2018-04-08,10,False
2018-04-15,9,False
2018-04-22,7,False
2018-04-29,15,False
2018-05-06,10,False
2018-05-13,10,False
2018-05-20,9,False
2018-05-27,7,False
2018-06-03,11,False
2018-06-10,13,False
2018-06-17,13,False
2018-06-24,10,False
2018-07-01,14,False
2018-07-08,10,False
2018-07-15,11,False
2018-07-22,13,False
2018-07-29,22,False
2018-08-05,29,False
2018-08-12,20,False
2018-08-19,19,False
2018-08-26,14,False
2018-09-02,17,False
2018-09-09,18,False
2018-09-16,15,False
2018-09-23,22,False
2018-09-30,28,False
2018-10-07,19,False
2018-10-14,15,False
2018-10-21,27,False
2018-10-28,14,False
2018-11-04,11,False
2018-11-11,9,False
2018-11-18,7,False
2018-11-25,8,False
2018-12-02,10,False
2018-12-09,10,False
2018-12-16,10,False
2018-12-23,9,False
2018-12-30,10,False
2019-01-06,9,False
2019-01-13,10,False
2019-01-20,11,False
2019-01-27,14,False
2019-02-03,10,False
2019-02-10,10,False
2019-02-17,12,False
2019-02-24,23,False
2019-03-03,25,False
2019-03-10,23,False
2019-03-17,21,False
2019-03-24,19,False
2019-03-31,24,False
2019-04-07,20,False
2019-04-14,18,False
2019-04-21,33,False
2019-04-28,25,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,36,False
2019-05-26,26,False
2019-06-02,26,False
2019-06-09,24,False
2019-06-16,21,False
2019-06-23,13,False
2019-06-30,16,False
2019-07-07,12,False
2019-07-14,14,False
2019-07-21,23,False
2019-07-28,13,False
2019-08-04,10,False
2019-08-11,10,False
2019-08-18,9,False
2019-08-25,9,False
2019-09-01,7,False
2019-09-08,9,False
2019-09-15,8,False
2019-09-22,9,False
2019-09-29,10,False
2019-10-06,8,False
2019-10-13,10,False
2019-10-20,21,False
2019-10-27,12,False
2019-11-03,11,False
2019-11-10,12,False
2019-11-17,17,False
2019-11-24,11,False
2019-12-01,9,False
2019-12-08,10,False
2019-12-15,18,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,25,False
2020-01-12,30,False
2020-01-19,25,False
2020-01-26,38,False
2020-02-02,93,False
2020-02-09,41,False
2020-02-16,39,False
2020-02-23,44,False
2020-03-01,33,False
2020-03-08,37,False
2020-03-15,40,False
2020-03-22,28,False
2020-03-29,25,False
2020-04-05,19,False
2020-04-12,30,False
2020-04-19,22,False
2020-04-26,37,False
2020-05-03,26,False
2020-05-10,24,False
2020-05-17,16,False
2020-05-24,15,False
2020-05-31,20,False
2020-06-07,30,False
2020-06-14,21,False
2020-06-21,17,False
2020-06-28,26,False
2020-07-05,43,False
2020-07-12,56,False
2020-07-19,61,False
2020-07-26,33,False
2020-08-02,24,False
2020-08-09,39,False
2020-08-16,55,False
2020-08-23,52,False
2020-08-30,100,False
2020-09-06,72,False
2020-09-13,57,False
2020-09-20,73,False
2020-09-27,41,False
2020-10-04,34,False
2020-10-11,30,False
2020-10-18,37,False
2020-10-25,26,False
2020-11-01,24,False
2020-11-08,24,False
2020-11-15,47,False
2020-11-22,38,False
2020-11-29,44,False
2020-12-06,49,False
2020-12-13,45,False
2020-12-20,40,False
2020-12-27,31,False
2021-01-03,61,False
2021-01-10,53,False
2021-01-17,33,False
2021-01-24,52,False
2021-01-31,37,False
2021-02-07,34,False
2021-02-14,29,False
2021-02-21,58,False
2021-02-28,50,False
2021-03-07,59,False
2021-03-14,37,False
2021-03-21,35,False
2021-03-28,32,False
2021-04-04,34,False
2021-04-11,36,False
2021-04-18,29,False
2021-04-25,37,False
2021-05-02,24,False
2021-05-09,35,False
2021-05-16,33,False
2021-05-23,27,False
2021-05-30,22,False
2021-06-06,23,False
2021-06-13,20,False
2021-06-20,24,False
2021-06-27,22,False
2021-07-04,18,False
2021-07-11,20,False
2021-07-18,17,False
2021-07-25,28,False
2021-08-01,23,False
2021-08-08,20,True
