date,BAC,isPartial
2016-09-25,26,False
2016-10-02,26,False
2016-10-09,27,False
2016-10-16,26,False
2016-10-23,24,False
2016-10-30,27,False
2016-11-06,27,False
2016-11-13,26,False
2016-11-20,26,False
2016-11-27,25,False
2016-12-04,25,False
2016-12-11,26,False
2016-12-18,24,False
2016-12-25,23,False
2017-01-01,24,False
2017-01-08,26,False
2017-01-15,25,False
2017-01-22,22,False
2017-01-29,23,False
2017-02-05,25,False
2017-02-12,26,False
2017-02-19,26,False
2017-02-26,30,False
2017-03-05,28,False
2017-03-12,29,False
2017-03-19,29,False
2017-03-26,28,False
2017-04-02,27,False
2017-04-09,27,False
2017-04-16,27,False
2017-04-23,28,False
2017-04-30,28,False
2017-05-07,30,False
2017-05-14,29,False
2017-05-21,29,False
2017-05-28,31,False
2017-06-04,36,False
2017-06-11,63,False
2017-06-18,52,False
2017-06-25,40,False
2017-07-02,100,False
2017-07-09,37,False
2017-07-16,28,False
2017-07-23,35,False
2017-07-30,23,False
2017-08-06,22,False
2017-08-13,22,False
2017-08-20,23,False
2017-08-27,24,False
2017-09-03,23,False
2017-09-10,23,False
2017-09-17,24,False
2017-09-24,22,False
2017-10-01,23,False
2017-10-08,23,False
2017-10-15,23,False
2017-10-22,21,False
2017-10-29,22,False
2017-11-05,23,False
2017-11-12,23,False
2017-11-19,22,False
2017-11-26,22,False
2017-12-03,23,False
2017-12-10,22,False
2017-12-17,22,False
2017-12-24,21,False
2017-12-31,22,False
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,23,False
2018-02-04,23,False
2018-02-11,20,False
2018-02-18,20,False
2018-02-25,23,False
2018-03-04,24,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,25,False
2018-04-01,24,False
2018-04-08,26,False
2018-04-15,25,False
2018-04-22,24,False
2018-04-29,24,False
2018-05-06,25,False
2018-05-13,27,False
2018-05-20,28,False
2018-05-27,29,False
2018-06-03,34,False
2018-06-10,38,False
2018-06-17,72,False
2018-06-24,42,False
2018-07-01,85,False
2018-07-08,44,False
2018-07-15,34,False
2018-07-22,26,False
2018-07-29,22,False
2018-08-05,23,False
2018-08-12,22,False
2018-08-19,22,False
2018-08-26,23,False
2018-09-02,22,False
2018-09-09,21,False
2018-09-16,20,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,20,False
2018-10-14,22,False
2018-10-21,19,False
2018-10-28,20,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,19,False
2018-12-30,19,False
2019-01-06,21,False
2019-01-13,22,False
2019-01-20,20,False
2019-01-27,20,False
2019-02-03,16,False
2019-02-10,20,False
2019-02-17,21,False
2019-02-24,22,False
2019-03-03,22,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,22,False
2019-03-31,23,False
2019-04-07,22,False
2019-04-14,22,False
2019-04-21,22,False
2019-04-28,23,False
2019-05-05,24,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,26,False
2019-06-02,28,False
2019-06-09,36,False
2019-06-16,73,False
2019-06-23,35,False
2019-06-30,79,False
2019-07-07,61,False
2019-07-14,29,False
2019-07-21,22,False
2019-07-28,22,False
2019-08-04,21,False
2019-08-11,20,False
2019-08-18,21,False
2019-08-25,22,False
2019-09-01,24,False
2019-09-08,21,False
2019-09-15,21,False
2019-09-22,20,False
2019-09-29,20,False
2019-10-06,20,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,19,False
2019-11-03,20,False
2019-11-10,20,False
2019-11-17,19,False
2019-11-24,20,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,20,False
2019-12-22,19,False
2019-12-29,19,False
2020-01-05,20,False
2020-01-12,21,False
2020-01-19,18,False
2020-01-26,18,False
2020-02-02,21,False
2020-02-09,20,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,21,False
2020-03-22,21,False
2020-03-29,25,False
2020-04-05,14,False
2020-04-12,14,False
2020-04-19,16,False
2020-04-26,18,False
2020-05-03,19,False
2020-05-10,20,False
2020-05-17,21,False
2020-05-24,23,False
2020-05-31,21,False
2020-06-07,21,False
2020-06-14,22,False
2020-06-21,28,False
2020-06-28,30,False
2020-07-05,43,False
2020-07-12,25,False
2020-07-19,19,False
2020-07-26,18,False
2020-08-02,21,False
2020-08-09,22,False
2020-08-16,19,False
2020-08-23,19,False
2020-08-30,21,False
2020-09-06,20,False
2020-09-13,19,False
2020-09-20,18,False
2020-09-27,17,False
2020-10-04,17,False
2020-10-11,23,False
2020-10-18,18,False
2020-10-25,17,False
2020-11-01,18,False
2020-11-08,19,False
2020-11-15,21,False
2020-11-22,19,False
2020-11-29,19,False
2020-12-06,18,False
2020-12-13,18,False
2020-12-20,17,False
2020-12-27,17,False
2021-01-03,19,False
2021-01-10,19,False
2021-01-17,20,False
2021-01-24,19,False
2021-01-31,19,False
2021-02-07,15,False
2021-02-14,17,False
2021-02-21,19,False
2021-02-28,19,False
2021-03-07,20,False
2021-03-14,19,False
2021-03-21,21,False
2021-03-28,20,False
2021-04-04,19,False
2021-04-11,19,False
2021-04-18,20,False
2021-04-25,20,False
2021-05-02,21,False
2021-05-09,22,False
2021-05-16,23,False
2021-05-23,23,False
2021-05-30,23,False
2021-06-06,24,False
2021-06-13,33,False
2021-06-20,27,False
2021-06-27,29,False
2021-07-04,62,False
2021-07-11,24,False
2021-07-18,23,False
2021-07-25,20,False
2021-08-01,18,False
2021-08-08,19,False
2021-08-15,20,False
2021-08-22,20,False
2021-08-29,23,False
2021-09-05,20,False
2021-09-12,19,True
