date,PM,isPartial
2016-08-21,16,False
2016-08-28,16,False
2016-09-04,15,False
2016-09-11,15,False
2016-09-18,16,False
2016-09-25,16,False
2016-10-02,15,False
2016-10-09,15,False
2016-10-16,15,False
2016-10-23,15,False
2016-10-30,14,False
2016-11-06,20,False
2016-11-13,19,False
2016-11-20,19,False
2016-11-27,18,False
2016-12-04,17,False
2016-12-11,17,False
2016-12-18,16,False
2016-12-25,17,False
2017-01-01,17,False
2017-01-08,16,False
2017-01-15,16,False
2017-01-22,16,False
2017-01-29,18,False
2017-02-05,21,False
2017-02-12,18,False
2017-02-19,16,False
2017-02-26,16,False
2017-03-05,16,False
2017-03-12,17,False
2017-03-19,17,False
2017-03-26,16,False
2017-04-02,16,False
2017-04-09,16,False
2017-04-16,15,False
2017-04-23,15,False
2017-04-30,15,False
2017-05-07,16,False
2017-05-14,16,False
2017-05-21,16,False
2017-05-28,17,False
2017-06-04,17,False
2017-06-11,17,False
2017-06-18,16,False
2017-06-25,17,False
2017-07-02,17,False
2017-07-09,18,False
2017-07-16,16,False
2017-07-23,17,False
2017-07-30,17,False
2017-08-06,16,False
2017-08-13,16,False
2017-08-20,17,False
2017-08-27,17,False
2017-09-03,17,False
2017-09-10,17,False
2017-09-17,18,False
2017-09-24,17,False
2017-10-01,18,False
2017-10-08,16,False
2017-10-15,17,False
2017-10-22,17,False
2017-10-29,17,False
2017-11-05,17,False
2017-11-12,17,False
2017-11-19,16,False
2017-11-26,18,False
2017-12-03,17,False
2017-12-10,16,False
2017-12-17,16,False
2017-12-24,14,False
2017-12-31,15,False
2018-01-07,17,False
2018-01-14,18,False
2018-01-21,17,False
2018-01-28,17,False
2018-02-04,17,False
2018-02-11,16,False
2018-02-18,18,False
2018-02-25,17,False
2018-03-04,17,False
2018-03-11,17,False
2018-03-18,18,False
2018-03-25,18,False
2018-04-01,17,False
2018-04-08,18,False
2018-04-15,17,False
2018-04-22,22,False
2018-04-29,18,False
2018-05-06,19,False
2018-05-13,19,False
2018-05-20,17,False
2018-05-27,17,False
2018-06-03,19,False
2018-06-10,18,False
2018-06-17,16,False
2018-06-24,17,False
2018-07-01,17,False
2018-07-08,18,False
2018-07-15,17,False
2018-07-22,20,False
2018-07-29,19,False
2018-08-05,19,False
2018-08-12,23,False
2018-08-19,20,False
2018-08-26,19,False
2018-09-02,17,False
2018-09-09,19,False
2018-09-16,18,False
2018-09-23,18,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,17,False
2018-10-21,19,False
2018-10-28,20,False
2018-11-04,18,False
2018-11-11,17,False
2018-11-18,17,False
2018-11-25,17,False
2018-12-02,17,False
2018-12-09,18,False
2018-12-16,17,False
2018-12-23,15,False
2018-12-30,17,False
2019-01-06,19,False
2019-01-13,20,False
2019-01-20,19,False
2019-01-27,22,False
2019-02-03,20,False
2019-02-10,22,False
