date,PM,isPartial
2016-09-18,17,False
2016-09-25,17,False
2016-10-02,16,False
2016-10-09,15,False
2016-10-16,16,False
2016-10-23,15,False
2016-10-30,15,False
2016-11-06,20,False
2016-11-13,21,False
2016-11-20,20,False
2016-11-27,17,False
2016-12-04,18,False
2016-12-11,18,False
2016-12-18,17,False
2016-12-25,18,False
2017-01-01,17,False
2017-01-08,17,False
2017-01-15,17,False
2017-01-22,17,False
2017-01-29,19,False
2017-02-05,22,False
2017-02-12,18,False
2017-02-19,16,False
2017-02-26,17,False
2017-03-05,17,False
2017-03-12,17,False
2017-03-19,18,False
2017-03-26,17,False
2017-04-02,17,False
2017-04-09,16,False
2017-04-16,17,False
2017-04-23,16,False
2017-04-30,16,False
2017-05-07,17,False
2017-05-14,17,False
2017-05-21,18,False
2017-05-28,17,False
2017-06-04,17,False
2017-06-11,17,False
2017-06-18,16,False
2017-06-25,18,False
2017-07-02,18,False
2017-07-09,18,False
2017-07-16,16,False
2017-07-23,18,False
2017-07-30,18,False
2017-08-06,17,False
2017-08-13,17,False
2017-08-20,17,False
2017-08-27,17,False
2017-09-03,17,False
2017-09-10,18,False
2017-09-17,19,False
2017-09-24,18,False
2017-10-01,19,False
2017-10-08,17,False
2017-10-15,18,False
2017-10-22,18,False
2017-10-29,18,False
2017-11-05,19,False
2017-11-12,18,False
2017-11-19,16,False
2017-11-26,18,False
2017-12-03,18,False
2017-12-10,17,False
2017-12-17,17,False
2017-12-24,14,False
2017-12-31,15,False
2018-01-07,19,False
2018-01-14,19,False
2018-01-21,18,False
2018-01-28,18,False
2018-02-04,18,False
2018-02-11,17,False
2018-02-18,18,False
2018-02-25,17,False
2018-03-04,18,False
2018-03-11,18,False
2018-03-18,19,False
2018-03-25,19,False
2018-04-01,19,False
2018-04-08,19,False
2018-04-15,18,False
2018-04-22,23,False
2018-04-29,19,False
2018-05-06,20,False
2018-05-13,20,False
2018-05-20,18,False
2018-05-27,19,False
2018-06-03,19,False
2018-06-10,20,False
2018-06-17,18,False
2018-06-24,18,False
2018-07-01,18,False
2018-07-08,18,False
2018-07-15,19,False
2018-07-22,21,False
2018-07-29,19,False
2018-08-05,20,False
2018-08-12,23,False
2018-08-19,21,False
2018-08-26,20,False
2018-09-02,18,False
2018-09-09,20,False
2018-09-16,19,False
2018-09-23,18,False
2018-09-30,18,False
2018-10-07,18,False
2018-10-14,18,False
2018-10-21,19,False
2018-10-28,21,False
2018-11-04,18,False
2018-11-11,18,False
2018-11-18,17,False
2018-11-25,18,False
2018-12-02,18,False
2018-12-09,19,False
2018-12-16,18,False
2018-12-23,16,False
2018-12-30,17,False
2019-01-06,19,False
2019-01-13,21,False
2019-01-20,20,False
2019-01-27,24,False
2019-02-03,21,False
2019-02-10,22,False
2019-02-17,22,False
2019-02-24,26,False
2019-03-03,22,False
2019-03-10,21,False
2019-03-17,23,False
2019-03-24,22,False
2019-03-31,21,False
2019-04-07,21,False
2019-04-14,20,False
2019-04-21,20,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,21,False
2019-05-19,29,False
2019-05-26,30,False
2019-06-02,23,False
2019-06-09,22,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,24,False
2019-07-28,22,False
2019-08-04,22,False
2019-08-11,22,False
2019-08-18,22,False
2019-08-25,22,False
2019-09-01,22,False
2019-09-08,22,False
2019-09-15,24,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,28,False
2019-10-13,30,False
2019-10-20,29,False
2019-10-27,28,False
2019-11-03,30,False
2019-11-10,27,False
2019-11-17,29,False
2019-11-24,30,False
2019-12-01,31,False
2019-12-08,31,False
2019-12-15,31,False
2019-12-22,30,False
2019-12-29,41,False
2020-01-05,44,False
2020-01-12,37,False
2020-01-19,41,False
2020-01-26,36,False
2020-02-02,36,False
2020-02-09,35,False
2020-02-16,36,False
2020-02-23,38,False
2020-03-01,37,False
2020-03-08,34,False
2020-03-15,40,False
2020-03-22,49,False
2020-03-29,76,False
2020-04-05,93,False
2020-04-12,80,False
2020-04-19,63,False
2020-04-26,56,False
2020-05-03,54,False
2020-05-10,62,False
2020-05-17,53,False
2020-05-24,53,False
2020-05-31,50,False
2020-06-07,52,False
2020-06-14,48,False
2020-06-21,46,False
2020-06-28,47,False
2020-07-05,46,False
2020-07-12,44,False
2020-07-19,49,False
2020-07-26,56,False
2020-08-02,68,False
2020-08-09,98,False
2020-08-16,70,False
2020-08-23,62,False
2020-08-30,51,False
2020-09-06,48,False
2020-09-13,47,False
2020-09-20,47,False
2020-09-27,45,False
2020-10-04,42,False
2020-10-11,41,False
2020-10-18,40,False
2020-10-25,38,False
2020-11-01,38,False
2020-11-08,44,False
2020-11-15,43,False
2020-11-22,44,False
2020-11-29,52,False
2020-12-06,50,False
2020-12-13,53,False
2020-12-20,100,False
2020-12-27,82,False
2021-01-03,57,False
2021-01-10,48,False
2021-01-17,43,False
2021-01-24,40,False
2021-01-31,41,False
2021-02-07,40,False
2021-02-14,38,False
2021-02-21,38,False
2021-02-28,37,False
2021-03-07,39,False
2021-03-14,40,False
2021-03-21,42,False
2021-03-28,48,False
2021-04-04,48,False
2021-04-11,43,False
2021-04-18,47,False
2021-04-25,46,False
2021-05-02,47,False
2021-05-09,99,False
2021-05-16,76,False
2021-05-23,46,False
2021-05-30,44,False
2021-06-06,42,False
2021-06-13,39,False
2021-06-20,37,False
2021-06-27,38,False
2021-07-04,36,False
2021-07-11,38,False
2021-07-18,36,False
2021-07-25,37,False
2021-08-01,47,False
2021-08-08,86,False
2021-08-15,55,False
2021-08-22,43,False
2021-08-29,39,False
2021-09-05,38,True
