date,RTX,isPartial
2016-09-04,1,False
2016-09-11,1,False
2016-09-18,1,False
2016-09-25,1,False
2016-10-02,1,False
2016-10-09,1,False
2016-10-16,1,False
2016-10-23,1,False
2016-10-30,1,False
2016-11-06,1,False
2016-11-13,1,False
2016-11-20,1,False
2016-11-27,1,False
2016-12-04,1,False
2016-12-11,1,False
2016-12-18,1,False
2016-12-25,1,False
2017-01-01,1,False
2017-01-08,1,False
2017-01-15,1,False
2017-01-22,1,False
2017-01-29,2,False
2017-02-05,2,False
2017-02-12,1,False
2017-02-19,1,False
2017-02-26,1,False
2017-03-05,1,False
2017-03-12,1,False
2017-03-19,1,False
2017-03-26,1,False
2017-04-02,1,False
2017-04-09,1,False
2017-04-16,1,False
2017-04-23,1,False
2017-04-30,1,False
2017-05-07,1,False
2017-05-14,1,False
2017-05-21,1,False
2017-05-28,1,False
2017-06-04,1,False
2017-06-11,1,False
2017-06-18,1,False
2017-06-25,1,False
2017-07-02,2,False
2017-07-09,2,False
2017-07-16,1,False
2017-07-23,1,False
2017-07-30,1,False
2017-08-06,1,False
2017-08-13,1,False
2017-08-20,1,False
2017-08-27,1,False
2017-09-03,1,False
2017-09-10,1,False
2017-09-17,1,False
2017-09-24,1,False
2017-10-01,1,False
2017-10-08,1,False
2017-10-15,1,False
2017-10-22,1,False
2017-10-29,1,False
2017-11-05,1,False
2017-11-12,1,False
2017-11-19,1,False
2017-11-26,1,False
2017-12-03,1,False
2017-12-10,1,False
2017-12-17,1,False
2017-12-24,1,False
2017-12-31,1,False
2018-01-07,1,False
2018-01-14,1,False
2018-01-21,1,False
2018-01-28,1,False
2018-02-04,1,False
2018-02-11,1,False
2018-02-18,1,False
2018-02-25,1,False
2018-03-04,1,False
2018-03-11,1,False
2018-03-18,1,False
2018-03-25,1,False
2018-04-01,1,False
2018-04-08,1,False
2018-04-15,1,False
2018-04-22,1,False
2018-04-29,1,False
2018-05-06,1,False
2018-05-13,1,False
2018-05-20,1,False
2018-05-27,1,False
2018-06-03,1,False
2018-06-10,1,False
2018-06-17,1,False
2018-06-24,1,False
2018-07-01,1,False
2018-07-08,1,False
2018-07-15,1,False
2018-07-22,1,False
2018-07-29,2,False
2018-08-05,2,False
2018-08-12,6,False
2018-08-19,40,False
2018-08-26,16,False
2018-09-02,10,False
2018-09-09,11,False
2018-09-16,17,False
2018-09-23,11,False
2018-09-30,10,False
2018-10-07,9,False
2018-10-14,13,False
2018-10-21,10,False
2018-10-28,10,False
2018-11-04,10,False
2018-11-11,11,False
2018-11-18,13,False
2018-11-25,12,False
2018-12-02,12,False
2018-12-09,11,False
2018-12-16,11,False
2018-12-23,12,False
2018-12-30,11,False
2019-01-06,22,False
2019-01-13,21,False
2019-01-20,18,False
2019-01-27,17,False
2019-02-03,18,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,16,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,16,False
2019-03-24,14,False
2019-03-31,13,False
2019-04-07,13,False
2019-04-14,12,False
2019-04-21,12,False
2019-04-28,12,False
