date,BIIB,isPartial
2016-09-18,6,False
2016-09-25,9,False
2016-10-02,8,False
2016-10-09,9,False
2016-10-16,4,False
2016-10-23,12,False
2016-10-30,6,False
2016-11-06,9,False
2016-11-13,10,False
2016-11-20,10,False
2016-11-27,9,False
2016-12-04,15,False
2016-12-11,8,False
2016-12-18,8,False
2016-12-25,8,False
2017-01-01,5,False
2017-01-08,6,False
2017-01-15,8,False
2017-01-22,12,False
2017-01-29,11,False
2017-02-05,10,False
2017-02-12,11,False
2017-02-19,6,False
2017-02-26,6,False
2017-03-05,6,False
2017-03-12,5,False
2017-03-19,6,False
2017-03-26,8,False
2017-04-02,10,False
2017-04-09,9,False
2017-04-16,7,False
2017-04-23,15,False
2017-04-30,10,False
2017-05-07,8,False
2017-05-14,6,False
2017-05-21,7,False
2017-05-28,7,False
2017-06-04,5,False
2017-06-11,4,False
2017-06-18,10,False
2017-06-25,9,False
2017-07-02,5,False
2017-07-09,5,False
2017-07-16,9,False
2017-07-23,15,False
2017-07-30,6,False
2017-08-06,6,False
2017-08-13,10,False
2017-08-20,6,False
2017-08-27,9,False
2017-09-03,5,False
2017-09-10,3,False
2017-09-17,6,False
2017-09-24,6,False
2017-10-01,4,False
2017-10-08,9,False
2017-10-15,8,False
2017-10-22,11,False
2017-10-29,5,False
2017-11-05,7,False
2017-11-12,6,False
2017-11-19,4,False
2017-11-26,6,False
2017-12-03,7,False
2017-12-10,4,False
2017-12-17,7,False
2017-12-24,2,False
2017-12-31,8,False
2018-01-07,7,False
2018-01-14,7,False
2018-01-21,10,False
2018-01-28,7,False
2018-02-04,9,False
2018-02-11,9,False
2018-02-18,6,False
2018-02-25,7,False
2018-03-04,5,False
2018-03-11,6,False
2018-03-18,6,False
2018-03-25,6,False
2018-04-01,8,False
2018-04-08,5,False
2018-04-15,6,False
2018-04-22,9,False
2018-04-29,8,False
2018-05-06,6,False
2018-05-13,7,False
2018-05-20,4,False
2018-05-27,6,False
2018-06-03,8,False
2018-06-10,7,False
2018-06-17,6,False
2018-06-24,1,False
2018-07-01,15,False
2018-07-08,12,False
2018-07-15,4,False
2018-07-22,34,False
2018-07-29,15,False
2018-08-05,7,False
2018-08-12,6,False
2018-08-19,6,False
2018-08-26,7,False
2018-09-02,5,False
2018-09-09,4,False
2018-09-16,6,False
2018-09-23,5,False
2018-09-30,6,False
2018-10-07,9,False
2018-10-14,6,False
2018-10-21,8,False
2018-10-28,5,False
2018-11-04,7,False
2018-11-11,2,False
2018-11-18,3,False
2018-11-25,6,False
2018-12-02,2,False
2018-12-09,3,False
2018-12-16,6,False
2018-12-23,3,False
2018-12-30,6,False
2019-01-06,4,False
2019-01-13,6,False
2019-01-20,2,False
2019-01-27,5,False
2019-02-03,6,False
2019-02-10,5,False
2019-02-17,5,False
2019-02-24,4,False
2019-03-03,5,False
2019-03-10,5,False
2019-03-17,41,False
2019-03-24,31,False
2019-03-31,19,False
2019-04-07,10,False
2019-04-14,8,False
2019-04-21,16,False
2019-04-28,10,False
2019-05-05,8,False
2019-05-12,6,False
2019-05-19,5,False
2019-05-26,7,False
2019-06-02,8,False
2019-06-09,5,False
2019-06-16,7,False
2019-06-23,7,False
2019-06-30,5,False
2019-07-07,2,False
2019-07-14,5,False
2019-07-21,7,False
2019-07-28,7,False
2019-08-04,6,False
2019-08-11,4,False
2019-08-18,3,False
2019-08-25,6,False
2019-09-01,4,False
2019-09-08,5,False
2019-09-15,6,False
2019-09-22,5,False
2019-09-29,8,False
2019-10-06,4,False
2019-10-13,4,False
2019-10-20,51,False
2019-10-27,13,False
2019-11-03,10,False
2019-11-10,7,False
2019-11-17,9,False
2019-11-24,10,False
2019-12-01,20,False
2019-12-08,8,False
2019-12-15,10,False
2019-12-22,6,False
2019-12-29,6,False
2020-01-05,7,False
2020-01-12,12,False
2020-01-19,8,False
2020-01-26,6,False
2020-02-02,19,False
2020-02-09,12,False
2020-02-16,8,False
2020-02-23,11,False
2020-03-01,12,False
2020-03-08,9,False
2020-03-15,10,False
2020-03-22,8,False
2020-03-29,6,False
2020-04-05,7,False
2020-04-12,6,False
2020-04-19,16,False
2020-04-26,9,False
2020-05-03,8,False
2020-05-10,9,False
2020-05-17,7,False
2020-05-24,5,False
2020-05-31,7,False
2020-06-07,10,False
2020-06-14,13,False
2020-06-21,10,False
2020-06-28,6,False
2020-07-05,14,False
2020-07-12,10,False
2020-07-19,11,False
2020-07-26,9,False
2020-08-02,13,False
2020-08-09,7,False
2020-08-16,9,False
2020-08-23,6,False
2020-08-30,6,False
2020-09-06,6,False
2020-09-13,6,False
2020-09-20,3,False
2020-09-27,7,False
2020-10-04,4,False
2020-10-11,5,False
2020-10-18,5,False
2020-10-25,4,False
2020-11-01,31,False
2020-11-08,21,False
2020-11-15,12,False
2020-11-22,9,False
2020-11-29,10,False
2020-12-06,6,False
2020-12-13,6,False
2020-12-20,7,False
2020-12-27,5,False
2021-01-03,7,False
2021-01-10,10,False
2021-01-17,4,False
2021-01-24,11,False
2021-01-31,10,False
2021-02-07,6,False
2021-02-14,7,False
2021-02-21,4,False
2021-02-28,4,False
2021-03-07,4,False
2021-03-14,6,False
2021-03-21,6,False
2021-03-28,3,False
2021-04-04,5,False
2021-04-11,6,False
2021-04-18,8,False
2021-04-25,5,False
2021-05-02,8,False
2021-05-09,3,False
2021-05-16,7,False
2021-05-23,6,False
2021-05-30,16,False
2021-06-06,100,False
2021-06-13,22,False
2021-06-20,15,False
2021-06-27,10,False
2021-07-04,17,False
2021-07-11,11,False
2021-07-18,11,False
2021-07-25,5,False
2021-08-01,7,False
2021-08-08,6,False
2021-08-15,11,False
2021-08-22,5,False
2021-08-29,5,False
2021-09-05,11,True
