date,SPG stock,isPartial
2016-08-21,0,False
2016-08-28,1,False
2016-09-04,1,False
2016-09-11,1,False
2016-09-18,0,False
2016-09-25,2,False
2016-10-02,3,False
2016-10-09,1,False
2016-10-16,0,False
2016-10-23,2,False
2016-10-30,4,False
2016-11-06,4,False
2016-11-13,0,False
2016-11-20,2,False
2016-11-27,2,False
2016-12-04,4,False
2016-12-11,1,False
2016-12-18,1,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,2,False
2017-01-15,0,False
2017-01-22,2,False
2017-01-29,2,False
2017-02-05,3,False
2017-02-12,2,False
2017-02-19,0,False
2017-02-26,3,False
2017-03-05,3,False
2017-03-12,3,False
2017-03-19,4,False
2017-03-26,4,False
2017-04-02,5,False
2017-04-09,0,False
2017-04-16,1,False
2017-04-23,3,False
2017-04-30,4,False
2017-05-07,3,False
2017-05-14,3,False
2017-05-21,5,False
2017-05-28,2,False
2017-06-04,3,False
2017-06-11,2,False
2017-06-18,1,False
2017-06-25,2,False
2017-07-02,2,False
2017-07-09,4,False
2017-07-16,1,False
2017-07-23,2,False
2017-07-30,3,False
2017-08-06,4,False
2017-08-13,2,False
2017-08-20,4,False
2017-08-27,1,False
2017-09-03,2,False
2017-09-10,1,False
2017-09-17,1,False
2017-09-24,4,False
2017-10-01,1,False
2017-10-08,4,False
2017-10-15,3,False
2017-10-22,3,False
2017-10-29,5,False
2017-11-05,2,False
2017-11-12,1,False
2017-11-19,2,False
2017-11-26,5,False
2017-12-03,1,False
2017-12-10,2,False
2017-12-17,2,False
2017-12-24,3,False
2017-12-31,2,False
2018-01-07,2,False
2018-01-14,3,False
2018-01-21,2,False
2018-01-28,6,False
2018-02-04,3,False
2018-02-11,2,False
2018-02-18,1,False
2018-02-25,4,False
2018-03-04,2,False
2018-03-11,1,False
2018-03-18,4,False
2018-03-25,2,False
2018-04-01,0,False
2018-04-08,2,False
2018-04-15,4,False
2018-04-22,2,False
2018-04-29,1,False
2018-05-06,5,False
2018-05-13,1,False
2018-05-20,3,False
2018-05-27,2,False
2018-06-03,0,False
2018-06-10,4,False
2018-06-17,3,False
2018-06-24,2,False
2018-07-01,2,False
2018-07-08,3,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,2,False
2018-08-05,4,False
2018-08-12,2,False
2018-08-19,3,False
2018-08-26,1,False
2018-09-02,2,False
2018-09-09,1,False
2018-09-16,2,False
2018-09-23,0,False
2018-09-30,2,False
2018-10-07,1,False
2018-10-14,1,False
2018-10-21,5,False
2018-10-28,2,False
2018-11-04,2,False
2018-11-11,2,False
2018-11-18,2,False
2018-11-25,3,False
2018-12-02,2,False
2018-12-09,2,False
2018-12-16,1,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,4,False
2019-01-13,3,False
2019-01-20,2,False
2019-01-27,3,False
2019-02-03,1,False
2019-02-10,0,False
2019-02-17,2,False
2019-02-24,2,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,1,False
2019-03-24,2,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,2,False
2019-04-21,1,False
2019-04-28,4,False
2019-05-05,1,False
2019-05-12,2,False
2019-05-19,2,False
2019-05-26,2,False
2019-06-02,2,False
2019-06-09,3,False
2019-06-16,2,False
2019-06-23,4,False
2019-06-30,1,False
2019-07-07,1,False
2019-07-14,1,False
2019-07-21,1,False
2019-07-28,3,False
2019-08-04,2,False
2019-08-11,2,False
2019-08-18,4,False
2019-08-25,5,False
2019-09-01,6,False
2019-09-08,5,False
2019-09-15,5,False
2019-09-22,5,False
2019-09-29,5,False
2019-10-06,2,False
2019-10-13,2,False
2019-10-20,4,False
2019-10-27,4,False
2019-11-03,3,False
2019-11-10,1,False
2019-11-17,6,False
2019-11-24,1,False
2019-12-01,7,False
2019-12-08,5,False
2019-12-15,5,False
2019-12-22,3,False
2019-12-29,3,False
2020-01-05,5,False
2020-01-12,1,False
2020-01-19,4,False
2020-01-26,8,False
2020-02-02,6,False
2020-02-09,7,False
2020-02-16,4,False
2020-02-23,7,False
2020-03-01,10,False
2020-03-08,16,False
2020-03-15,26,False
2020-03-22,37,False
2020-03-29,27,False
2020-04-05,36,False
2020-04-12,30,False
2020-04-19,35,False
2020-04-26,60,False
2020-05-03,52,False
2020-05-10,71,False
2020-05-17,55,False
2020-05-24,46,False
2020-05-31,92,False
2020-06-07,100,False
2020-06-14,61,False
2020-06-21,69,False
2020-06-28,79,False
2020-07-05,63,False
2020-07-12,46,False
2020-07-19,41,False
2020-07-26,43,False
2020-08-02,46,False
2020-08-09,97,False
2020-08-16,44,False
2020-08-23,52,False
2020-08-30,41,False
2020-09-06,36,False
2020-09-13,46,False
2020-09-20,37,False
2020-09-27,26,False
2020-10-04,33,False
2020-10-11,30,False
2020-10-18,29,False
2020-10-25,33,False
2020-11-01,24,False
2020-11-08,73,False
2020-11-15,62,False
2020-11-22,33,False
2020-11-29,38,False
2020-12-06,29,False
2020-12-13,30,False
2020-12-20,27,False
2020-12-27,23,False
2021-01-03,25,False
2021-01-10,31,False
2021-01-17,25,False
2021-01-24,25,False
2021-01-31,24,False
2021-02-07,35,False
2021-02-14,24,False
2021-02-21,26,False
2021-02-28,22,False
2021-03-07,24,False
2021-03-14,20,False
2021-03-21,18,False
2021-03-28,19,False
2021-04-04,13,False
2021-04-11,13,False
2021-04-18,9,False
2021-04-25,14,False
2021-05-02,13,False
2021-05-09,17,False
2021-05-16,12,False
2021-05-23,7,False
2021-05-30,12,False
2021-06-06,18,False
2021-06-13,5,False
2021-06-20,15,False
2021-06-27,7,False
2021-07-04,7,False
2021-07-11,9,False
2021-07-18,15,False
2021-07-25,9,False
2021-08-01,12,False
2021-08-08,9,True
