date,COP,isPartial
2016-10-09,32,False
2016-10-16,32,False
2016-10-23,33,False
2016-10-30,33,False
2016-11-06,34,False
2016-11-13,35,False
2016-11-20,32,False
2016-11-27,30,False
2016-12-04,32,False
2016-12-11,29,False
2016-12-18,31,False
2016-12-25,35,False
2017-01-01,32,False
2017-01-08,33,False
2017-01-15,32,False
2017-01-22,30,False
2017-01-29,30,False
2017-02-05,29,False
2017-02-12,28,False
2017-02-19,35,False
2017-02-26,32,False
2017-03-05,29,False
2017-03-12,29,False
2017-03-19,30,False
2017-03-26,30,False
2017-04-02,30,False
2017-04-09,34,False
2017-04-16,30,False
2017-04-23,30,False
2017-04-30,32,False
2017-05-07,30,False
2017-05-14,31,False
2017-05-21,29,False
2017-05-28,28,False
2017-06-04,32,False
2017-06-11,31,False
2017-06-18,32,False
2017-06-25,31,False
2017-07-02,33,False
2017-07-09,32,False
2017-07-16,33,False
2017-07-23,31,False
2017-07-30,30,False
2017-08-06,31,False
2017-08-13,30,False
2017-08-20,28,False
2017-08-27,32,False
2017-09-03,30,False
2017-09-10,29,False
2017-09-17,29,False
2017-09-24,32,False
2017-10-01,33,False
2017-10-08,33,False
2017-10-15,33,False
2017-10-22,30,False
2017-10-29,29,False
2017-11-05,32,False
2017-11-12,31,False
2017-11-19,30,False
2017-11-26,29,False
2017-12-03,32,False
2017-12-10,31,False
2017-12-17,29,False
2017-12-24,28,False
2017-12-31,32,False
2018-01-07,30,False
2018-01-14,29,False
2018-01-21,30,False
2018-01-28,27,False
2018-02-04,27,False
2018-02-11,26,False
2018-02-18,27,False
2018-02-25,28,False
2018-03-04,29,False
2018-03-11,26,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,28,False
2018-04-08,25,False
2018-04-15,26,False
2018-04-22,29,False
2018-04-29,26,False
2018-05-06,30,False
2018-05-13,28,False
2018-05-20,28,False
2018-05-27,29,False
2018-06-03,29,False
2018-06-10,28,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,30,False
2018-07-08,29,False
2018-07-15,32,False
2018-07-22,28,False
2018-07-29,30,False
2018-08-05,27,False
2018-08-12,28,False
2018-08-19,27,False
2018-08-26,28,False
2018-09-02,31,False
2018-09-09,35,False
2018-09-16,33,False
2018-09-23,35,False
2018-09-30,33,False
2018-10-07,30,False
2018-10-14,28,False
2018-10-21,31,False
2018-10-28,29,False
2018-11-04,26,False
2018-11-11,27,False
2018-11-18,28,False
2018-11-25,28,False
2018-12-02,31,False
2018-12-09,29,False
2018-12-16,31,False
2018-12-23,34,False
2018-12-30,30,False
2019-01-06,31,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,32,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,28,False
2019-03-03,28,False
2019-03-10,26,False
2019-03-17,28,False
2019-03-24,26,False
2019-03-31,27,False
2019-04-07,25,False
2019-04-14,26,False
2019-04-21,27,False
2019-04-28,27,False
2019-05-05,25,False
2019-05-12,28,False
2019-05-19,26,False
2019-05-26,27,False
2019-06-02,26,False
2019-06-09,28,False
2019-06-16,30,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,32,False
2019-07-14,31,False
2019-07-21,29,False
2019-07-28,29,False
2019-08-04,28,False
2019-08-11,32,False
2019-08-18,27,False
2019-08-25,27,False
2019-09-01,28,False
2019-09-08,26,False
2019-09-15,28,False
2019-09-22,30,False
2019-09-29,40,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,29,False
2019-11-03,27,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,32,False
2019-12-08,32,False
2019-12-15,31,False
2019-12-22,28,False
2019-12-29,30,False
2020-01-05,27,False
2020-01-12,29,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,26,False
2020-02-09,29,False
2020-02-16,28,False
2020-02-23,28,False
2020-03-01,27,False
2020-03-08,30,False
2020-03-15,26,False
2020-03-22,26,False
2020-03-29,27,False
