date,COP,isPartial
2016-08-21,29,False
2016-08-28,31,False
2016-09-04,32,False
2016-09-11,32,False
2016-09-18,41,False
2016-09-25,37,False
2016-10-02,32,False
2016-10-09,32,False
2016-10-16,32,False
2016-10-23,33,False
2016-10-30,33,False
2016-11-06,35,False
2016-11-13,34,False
2016-11-20,33,False
2016-11-27,32,False
2016-12-04,31,False
2016-12-11,29,False
2016-12-18,30,False
2016-12-25,36,False
2017-01-01,34,False
2017-01-08,32,False
2017-01-15,33,False
2017-01-22,31,False
2017-01-29,30,False
2017-02-05,30,False
2017-02-12,30,False
2017-02-19,36,False
2017-02-26,30,False
2017-03-05,30,False
2017-03-12,29,False
2017-03-19,30,False
2017-03-26,30,False
2017-04-02,30,False
2017-04-09,31,False
2017-04-16,30,False
2017-04-23,29,False
2017-04-30,30,False
2017-05-07,30,False
2017-05-14,31,False
2017-05-21,29,False
2017-05-28,30,False
2017-06-04,31,False
2017-06-11,30,False
2017-06-18,33,False
2017-06-25,33,False
2017-07-02,33,False
2017-07-09,32,False
2017-07-16,35,False
2017-07-23,31,False
2017-07-30,31,False
2017-08-06,31,False
2017-08-13,30,False
2017-08-20,28,False
2017-08-27,32,False
2017-09-03,29,False
2017-09-10,29,False
2017-09-17,31,False
2017-09-24,31,False
2017-10-01,32,False
2017-10-08,32,False
2017-10-15,31,False
2017-10-22,30,False
2017-10-29,28,False
2017-11-05,33,False
2017-11-12,32,False
2017-11-19,29,False
2017-11-26,30,False
2017-12-03,33,False
2017-12-10,31,False
2017-12-17,29,False
2017-12-24,28,False
2017-12-31,31,False
2018-01-07,30,False
2018-01-14,30,False
2018-01-21,31,False
2018-01-28,28,False
2018-02-04,27,False
2018-02-11,27,False
2018-02-18,28,False
2018-02-25,28,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,28,False
2018-04-08,27,False
2018-04-15,27,False
2018-04-22,29,False
2018-04-29,27,False
2018-05-06,30,False
2018-05-13,29,False
2018-05-20,28,False
2018-05-27,29,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,31,False
2018-06-24,31,False
2018-07-01,30,False
2018-07-08,29,False
2018-07-15,31,False
2018-07-22,28,False
2018-07-29,28,False
2018-08-05,28,False
2018-08-12,29,False
2018-08-19,28,False
2018-08-26,28,False
2018-09-02,32,False
2018-09-09,35,False
2018-09-16,33,False
2018-09-23,35,False
2018-09-30,34,False
2018-10-07,30,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,29,False
2018-11-04,27,False
2018-11-11,28,False
2018-11-18,28,False
2018-11-25,27,False
2018-12-02,31,False
2018-12-09,30,False
2018-12-16,30,False
2018-12-23,35,False
2018-12-30,30,False
2019-01-06,30,False
2019-01-13,30,False
2019-01-20,28,False
2019-01-27,33,False
2019-02-03,28,False
2019-02-10,30,False
2019-02-17,29,False
2019-02-24,28,False
2019-03-03,27,False
2019-03-10,27,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,26,False
2019-04-07,25,False
2019-04-14,27,False
2019-04-21,28,False
2019-04-28,26,False
2019-05-05,25,False
2019-05-12,27,False
2019-05-19,27,False
2019-05-26,26,False
2019-06-02,27,False
2019-06-09,28,False
2019-06-16,31,False
2019-06-23,31,False
2019-06-30,29,False
2019-07-07,32,False
2019-07-14,31,False
2019-07-21,28,False
2019-07-28,30,False
2019-08-04,29,False
2019-08-11,31,False
2019-08-18,28,False
2019-08-25,27,False
2019-09-01,28,False
2019-09-08,28,False
2019-09-15,29,False
2019-09-22,30,False
2019-09-29,41,False
2019-10-06,31,False
2019-10-13,32,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,27,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,31,False
2019-12-08,30,False
2019-12-15,30,False
2019-12-22,29,False
2019-12-29,29,False
2020-01-05,28,False
2020-01-12,29,False
2020-01-19,29,False
2020-01-26,26,False
2020-02-02,27,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,30,False
2020-03-15,26,False
2020-03-22,27,False
2020-03-29,27,False
2020-04-05,28,False
2020-04-12,28,False
2020-04-19,28,False
2020-04-26,30,False
2020-05-03,30,False
2020-05-10,30,False
2020-05-17,32,False
2020-05-24,84,False
2020-05-31,100,False
2020-06-07,57,False
2020-06-14,53,False
2020-06-21,40,False
2020-06-28,36,False
2020-07-05,32,False
2020-07-12,33,False
2020-07-19,31,False
2020-07-26,30,False
2020-08-02,30,False
2020-08-09,33,False
2020-08-16,29,False
2020-08-23,36,False
2020-08-30,30,False
2020-09-06,29,False
2020-09-13,33,False
2020-09-20,30,False
2020-09-27,26,False
2020-10-04,26,False
2020-10-11,26,False
2020-10-18,25,False
2020-10-25,27,False
2020-11-01,23,False
2020-11-08,25,False
2020-11-15,26,False
2020-11-22,25,False
2020-11-29,26,False
2020-12-06,25,False
2020-12-13,26,False
2020-12-20,29,False
2020-12-27,28,False
2021-01-03,31,False
2021-01-10,31,False
2021-01-17,27,False
2021-01-24,28,False
2021-01-31,28,False
2021-02-07,26,False
2021-02-14,26,False
2021-02-21,27,False
2021-02-28,28,False
2021-03-07,28,False
2021-03-14,28,False
2021-03-21,28,False
2021-03-28,30,False
2021-04-04,28,False
2021-04-11,42,False
2021-04-18,42,False
2021-04-25,32,False
2021-05-02,31,False
2021-05-09,27,False
2021-05-16,27,False
2021-05-23,26,False
2021-05-30,27,False
2021-06-06,26,False
2021-06-13,27,False
2021-06-20,28,False
2021-06-27,28,False
2021-07-04,28,False
2021-07-11,26,False
2021-07-18,28,False
2021-07-25,28,False
2021-08-01,28,False
2021-08-08,29,True
