date,AAPL,isPartial
2016-09-11,36,False
2016-09-18,25,False
2016-09-25,20,False
2016-10-02,17,False
2016-10-09,23,False
2016-10-16,19,False
2016-10-23,37,False
2016-10-30,17,False
2016-11-06,24,False
2016-11-13,20,False
2016-11-20,13,False
2016-11-27,14,False
2016-12-04,15,False
2016-12-11,16,False
2016-12-18,14,False
2016-12-25,11,False
2017-01-01,13,False
2017-01-08,17,False
2017-01-15,14,False
2017-01-22,17,False
2017-01-29,45,False
2017-02-05,22,False
2017-02-12,24,False
2017-02-19,18,False
2017-02-26,21,False
2017-03-05,18,False
2017-03-12,16,False
2017-03-19,17,False
2017-03-26,19,False
2017-04-02,18,False
2017-04-09,14,False
2017-04-16,14,False
2017-04-23,17,False
2017-04-30,37,False
2017-05-07,27,False
2017-05-14,23,False
2017-05-21,17,False
2017-05-28,15,False
2017-06-04,22,False
2017-06-11,25,False
2017-06-18,19,False
2017-06-25,16,False
2017-07-02,15,False
2017-07-09,17,False
2017-07-16,15,False
2017-07-23,19,False
2017-07-30,43,False
2017-08-06,23,False
2017-08-13,22,False
2017-08-20,17,False
2017-08-27,20,False
2017-09-03,14,False
2017-09-10,33,False
2017-09-17,22,False
2017-09-24,22,False
2017-10-01,16,False
2017-10-08,14,False
2017-10-15,19,False
2017-10-22,18,False
2017-10-29,41,False
2017-11-05,25,False
2017-11-12,18,False
2017-11-19,13,False
2017-11-26,21,False
2017-12-03,21,False
2017-12-10,18,False
2017-12-17,19,False
2017-12-24,17,False
2017-12-31,18,False
2018-01-07,19,False
2018-01-14,20,False
2018-01-21,20,False
2018-01-28,44,False
2018-02-04,35,False
2018-02-11,29,False
2018-02-18,18,False
2018-02-25,22,False
2018-03-04,18,False
2018-03-11,18,False
2018-03-18,18,False
2018-03-25,19,False
2018-04-01,20,False
2018-04-08,17,False
2018-04-15,18,False
2018-04-22,22,False
2018-04-29,48,False
2018-05-06,29,False
2018-05-13,20,False
2018-05-20,16,False
2018-05-27,15,False
2018-06-03,23,False
2018-06-10,18,False
2018-06-17,17,False
2018-06-24,16,False
2018-07-01,12,False
2018-07-08,15,False
2018-07-15,16,False
2018-07-22,19,False
2018-07-29,59,False
2018-08-05,24,False
2018-08-12,23,False
2018-08-19,24,False
2018-08-26,25,False
2018-09-02,21,False
2018-09-09,33,False
2018-09-16,23,False
2018-09-23,20,False
2018-09-30,22,False
2018-10-07,24,False
2018-10-14,20,False
2018-10-21,22,False
2018-10-28,45,False
2018-11-04,31,False
2018-11-11,31,False
2018-11-18,28,False
2018-11-25,30,False
2018-12-02,27,False
2018-12-09,26,False
2018-12-16,25,False
2018-12-23,25,False
2018-12-30,55,False
2019-01-06,31,False
2019-01-13,23,False
2019-01-20,18,False
2019-01-27,43,False
2019-02-03,24,False
2019-02-10,19,False
2019-02-17,15,False
2019-02-24,15,False
2019-03-03,17,False
2019-03-10,20,False
2019-03-17,25,False
2019-03-24,26,False
2019-03-31,20,False
2019-04-07,21,False
2019-04-14,18,False
2019-04-21,22,False
2019-04-28,38,False
2019-05-05,21,False
2019-05-12,22,False
2019-05-19,20,False
2019-05-26,13,False
2019-06-02,20,False
2019-06-09,17,False
2019-06-16,17,False
2019-06-23,17,False
2019-06-30,15,False
2019-07-07,16,False
2019-07-14,14,False
2019-07-21,17,False
2019-07-28,31,False
2019-08-04,21,False
2019-08-11,20,False
2019-08-18,17,False
2019-08-25,17,False
2019-09-01,13,False
2019-09-08,25,False
2019-09-15,18,False
2019-09-22,14,False
2019-09-29,18,False
2019-10-06,18,False
2019-10-13,16,False
2019-10-20,20,False
2019-10-27,33,False
2019-11-03,21,False
2019-11-10,20,False
2019-11-17,18,False
2019-11-24,14,False
2019-12-01,17,False
2019-12-08,19,False
2019-12-15,19,False
2019-12-22,17,False
2019-12-29,21,False
2020-01-05,26,False
2020-01-12,28,False
2020-01-19,21,False
2020-01-26,40,False
2020-02-02,27,False
2020-02-09,22,False
2020-02-16,26,False
2020-02-23,43,False
2020-03-01,41,False
2020-03-08,51,False
2020-03-15,47,False
2020-03-22,39,False
2020-03-29,26,False
2020-04-05,23,False
2020-04-12,27,False
2020-04-19,22,False
2020-04-26,32,False
2020-05-03,23,False
2020-05-10,23,False
2020-05-17,21,False
2020-05-24,16,False
2020-05-31,19,False
2020-06-07,28,False
2020-06-14,24,False
2020-06-21,29,False
2020-06-28,20,False
2020-07-05,26,False
2020-07-12,31,False
2020-07-19,26,False
2020-07-26,48,False
2020-08-02,48,False
2020-08-09,43,False
2020-08-16,50,False
2020-08-23,64,False
2020-08-30,100,False
2020-09-06,65,False
2020-09-13,65,False
2020-09-20,56,False
2020-09-27,45,False
2020-10-04,40,False
2020-10-11,56,False
2020-10-18,36,False
2020-10-25,45,False
2020-11-01,40,False
2020-11-08,40,False
2020-11-15,29,False
2020-11-22,25,False
2020-11-29,32,False
2020-12-06,30,False
2020-12-13,32,False
2020-12-20,33,False
2020-12-27,33,False
2021-01-03,38,False
2021-01-10,33,False
2021-01-17,34,False
2021-01-24,68,False
2021-01-31,45,False
2021-02-07,32,False
2021-02-14,30,False
2021-02-21,43,False
2021-02-28,37,False
2021-03-07,40,False
2021-03-14,35,False
2021-03-21,30,False
2021-03-28,27,False
2021-04-04,30,False
2021-04-11,31,False
2021-04-18,31,False
2021-04-25,42,False
2021-05-02,27,False
2021-05-09,28,False
2021-05-16,24,False
2021-05-23,21,False
2021-05-30,18,False
2021-06-06,22,False
2021-06-13,21,False
2021-06-20,22,False
2021-06-27,24,False
2021-07-04,26,False
2021-07-11,30,False
2021-07-18,27,False
2021-07-25,35,False
2021-08-01,22,False
2021-08-08,22,False
2021-08-15,23,False
2021-08-22,24,False
2021-08-29,23,False
