date,PFE,isPartial
2016-10-02,11,False
2016-10-09,14,False
2016-10-16,15,False
2016-10-23,12,False
2016-10-30,14,False
2016-11-06,17,False
2016-11-13,12,False
2016-11-20,11,False
2016-11-27,15,False
2016-12-04,16,False
2016-12-11,13,False
2016-12-18,13,False
2016-12-25,8,False
2017-01-01,15,False
2017-01-08,13,False
2017-01-15,15,False
2017-01-22,14,False
2017-01-29,15,False
2017-02-05,17,False
2017-02-12,17,False
2017-02-19,14,False
2017-02-26,16,False
2017-03-05,18,False
2017-03-12,12,False
2017-03-19,13,False
2017-03-26,13,False
2017-04-02,13,False
2017-04-09,12,False
2017-04-16,14,False
2017-04-23,13,False
2017-04-30,16,False
2017-05-07,15,False
2017-05-14,15,False
2017-05-21,13,False
2017-05-28,13,False
2017-06-04,13,False
2017-06-11,14,False
2017-06-18,14,False
2017-06-25,11,False
2017-07-02,9,False
2017-07-09,9,False
2017-07-16,10,False
2017-07-23,10,False
2017-07-30,13,False
2017-08-06,10,False
2017-08-13,10,False
2017-08-20,8,False
2017-08-27,9,False
2017-09-03,9,False
2017-09-10,12,False
2017-09-17,11,False
2017-09-24,10,False
2017-10-01,12,False
2017-10-08,11,False
2017-10-15,13,False
2017-10-22,10,False
2017-10-29,9,False
2017-11-05,9,False
2017-11-12,10,False
2017-11-19,9,False
2017-11-26,13,False
2017-12-03,12,False
2017-12-10,15,False
2017-12-17,15,False
2017-12-24,10,False
2017-12-31,10,False
2018-01-07,11,False
2018-01-14,16,False
2018-01-21,13,False
2018-01-28,18,False
2018-02-04,19,False
2018-02-11,15,False
2018-02-18,14,False
2018-02-25,13,False
2018-03-04,17,False
2018-03-11,15,False
2018-03-18,12,False
2018-03-25,13,False
2018-04-01,12,False
2018-04-08,12,False
2018-04-15,13,False
2018-04-22,9,False
2018-04-29,14,False
2018-05-06,16,False
2018-05-13,11,False
2018-05-20,12,False
2018-05-27,12,False
2018-06-03,15,False
2018-06-10,13,False
2018-06-17,14,False
2018-06-24,12,False
2018-07-01,10,False
2018-07-08,13,False
2018-07-15,11,False
2018-07-22,13,False
2018-07-29,16,False
2018-08-05,13,False
2018-08-12,13,False
2018-08-19,13,False
2018-08-26,13,False
2018-09-02,10,False
2018-09-09,12,False
2018-09-16,21,False
2018-09-23,14,False
2018-09-30,11,False
2018-10-07,13,False
2018-10-14,13,False
2018-10-21,12,False
2018-10-28,12,False
2018-11-04,13,False
2018-11-11,13,False
2018-11-18,11,False
2018-11-25,12,False
2018-12-02,11,False
2018-12-09,12,False
2018-12-16,13,False
2018-12-23,11,False
2018-12-30,12,False
2019-01-06,14,False
2019-01-13,14,False
2019-01-20,14,False
2019-01-27,16,False
2019-02-03,12,False
2019-02-10,14,False
2019-02-17,11,False
2019-02-24,14,False
2019-03-03,14,False
2019-03-10,11,False
2019-03-17,13,False
2019-03-24,13,False
2019-03-31,12,False
2019-04-07,12,False
2019-04-14,13,False
2019-04-21,16,False
2019-04-28,15,False
2019-05-05,15,False
2019-05-12,14,False
2019-05-19,13,False
2019-05-26,11,False
2019-06-02,11,False
2019-06-09,14,False
2019-06-16,15,False
2019-06-23,12,False
2019-06-30,10,False
2019-07-07,10,False
2019-07-14,11,False
2019-07-21,11,False
2019-07-28,16,False
2019-08-04,12,False
2019-08-11,12,False
2019-08-18,13,False
2019-08-25,10,False
2019-09-01,11,False
2019-09-08,12,False
2019-09-15,12,False
2019-09-22,14,False
2019-09-29,13,False
2019-10-06,13,False
2019-10-13,12,False
2019-10-20,14,False
2019-10-27,18,False
2019-11-03,25,False
2019-11-10,14,False
2019-11-17,15,False
2019-11-24,16,False
2019-12-01,12,False
2019-12-08,13,False
2019-12-15,15,False
2019-12-22,9,False
2019-12-29,11,False
2020-01-05,14,False
2020-01-12,15,False
2020-01-19,15,False
2020-01-26,38,False
2020-02-02,28,False
2020-02-09,22,False
2020-02-16,20,False
2020-02-23,22,False
2020-03-01,19,False
2020-03-08,23,False
2020-03-15,22,False
2020-03-22,24,False
2020-03-29,21,False
2020-04-05,22,False
2020-04-12,23,False
2020-04-19,19,False
2020-04-26,20,False
2020-05-03,23,False
2020-05-10,22,False
2020-05-17,24,False
2020-05-24,20,False
2020-05-31,32,False
2020-06-07,22,False
2020-06-14,25,False
2020-06-21,20,False
2020-06-28,31,False
2020-07-05,24,False
2020-07-12,37,False
2020-07-19,57,False
2020-07-26,42,False
2020-08-02,29,False
2020-08-09,27,False
2020-08-16,29,False
2020-08-23,29,False
2020-08-30,23,False
2020-09-06,24,False
2020-09-13,30,False
2020-09-20,24,False
2020-09-27,22,False
2020-10-04,22,False
2020-10-11,24,False
2020-10-18,30,False
2020-10-25,27,False
2020-11-01,24,False
2020-11-08,93,False
2020-11-15,69,False
2020-11-22,45,False
2020-11-29,82,False
2020-12-06,100,False
2020-12-13,88,False
2020-12-20,49,False
2020-12-27,37,False
2021-01-03,35,False
2021-01-10,36,False
2021-01-17,31,False
2021-01-24,41,False
2021-01-31,49,False
2021-02-07,34,False
2021-02-14,31,False
2021-02-21,34,False
2021-02-28,36,False
2021-03-07,31,False
2021-03-14,26,False
2021-03-21,26,False
2021-03-28,27,False
2021-04-04,26,False
2021-04-11,32,False
2021-04-18,36,False
2021-04-25,28,False
2021-05-02,43,False
2021-05-09,36,False
2021-05-16,27,False
2021-05-23,27,False
2021-05-30,23,False
2021-06-06,28,False
2021-06-13,26,False
2021-06-20,23,False
2021-06-27,23,False
2021-07-04,18,False
2021-07-11,29,False
2021-07-18,25,False
2021-07-25,31,False
2021-08-01,34,False
2021-08-08,35,False
2021-08-15,44,False
2021-08-22,59,False
2021-08-29,32,False
2021-09-05,21,False
2021-09-12,30,False
2021-09-19,32,True
